Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Jagger Rusconi	0	3036	NaN	NaN	NaN	NaN	0.183	0
Alan Garcia	0	3037	NaN	NaN	NaN	NaN	0.178	0
Gabriel Maciel	0	3038	NaN	NaN	NaN	NaN	0.179	0
William Cuicas	0	3039	NaN	NaN	NaN	NaN	0.176	0
Clayton Middleton	0	3040	NaN	NaN	NaN	NaN	0.169	0
Wigberto Nevarez	0	3041	NaN	NaN	NaN	NaN	0.167	0
Javier Godard	0	3042	NaN	NaN	NaN	NaN	0.181	0
Willis Figueroa	0	3043	NaN	NaN	NaN	NaN	0.174	0
Chris Sharpe	0	3044	NaN	NaN	NaN	NaN	0.17	0
Pedro Ogando	0	3045	NaN	NaN	NaN	NaN	0.18	0
Oscar Rojas	0	3046	NaN	NaN	NaN	NaN	0.179	0
Yomar Valentin	0	3047	NaN	NaN	NaN	NaN	0.178	0
Jeremy Wolf	0	3048	NaN	NaN	NaN	NaN	0.174	0
Stephen Lohr	0	3049	NaN	NaN	NaN	NaN	0.167	0
Natanael Ramos	0	3050	NaN	NaN	NaN	NaN	0.175	0
Lednier Ricardo	0	3051	NaN	NaN	NaN	NaN	0.169	0
Yahir Gurrola	0	3052	NaN	NaN	NaN	NaN	0.174	0
Justin Jacobs	0	3053	NaN	NaN	NaN	NaN	0.171	0
Hector Martinez	0	3054	NaN	NaN	NaN	NaN	0.185	0
Dario Unda	0	3055	NaN	NaN	NaN	NaN	0.171	0
Isaias Quiroz	0	3056	NaN	NaN	NaN	NaN	0.161	0
Zach Fish	0	3057	NaN	NaN	NaN	NaN	0.165	0
Josh Stephen	0	3058	NaN	NaN	NaN	NaN	0.174	0
Orlando Garcia	0	3059	NaN	NaN	NaN	NaN	0.174	0
Wood Myers	0	3060	NaN	NaN	NaN	NaN	0.188	0
Eduardo Diaz	0	3061	NaN	NaN	NaN	NaN	0.176	0
Claudio Finol	0	3062	NaN	NaN	NaN	NaN	0.175	0
Bryan Torres	0	3063	NaN	NaN	NaN	NaN	0.176	0
Juan Evangelista	0	3064	NaN	NaN	NaN	NaN	0.175	0
Casey Golden	0	3065	NaN	NaN	NaN	NaN	0.166	0
J.C. Millan	0	3066	NaN	NaN	NaN	NaN	0.18	0
Matt Dacey	0	3067	NaN	NaN	NaN	NaN	0.166	0
Austin Davis	0	3068	NaN	NaN	NaN	NaN	0.172	0
Rauel Acosta	0	3069	NaN	NaN	NaN	NaN	0.171	0
Javier Hernandez	0	3070	NaN	NaN	NaN	NaN	0.171	0
Wenceel Perez	0	3071	NaN	NaN	NaN	NaN	0.187	0
Drew Bridges	0	3072	NaN	NaN	NaN	NaN	0.168	0
Brian Sanchez	0	3073	NaN	NaN	NaN	NaN	0.166	0
Welfrin Mateo	0	3074	NaN	NaN	NaN	NaN	0.183	0
Manuel Geraldo	0	3075	NaN	NaN	NaN	NaN	0.188	0
Yeikel Blandin	0	3076	NaN	NaN	NaN	NaN	0.176	0
Mattingly Romanin	0	3077	NaN	NaN	NaN	NaN	0.171	0
Daniel Suero	0	3078	NaN	NaN	NaN	NaN	0.179	0
Jonathan Popadics	0	3079	NaN	NaN	NaN	NaN	0.182	0
Cesar Gonzalez	0	3080	NaN	NaN	NaN	NaN	0.173	0
Jeff Smith	0	3081	NaN	NaN	NaN	NaN	0.175	0
Miguel Eladio	0	3082	NaN	NaN	NaN	NaN	0.183	0
Chad Spanberger	0	3083	NaN	NaN	NaN	NaN	0.167	0
Dylan Rosa	0	3084	NaN	NaN	NaN	NaN	0.162	0
Guillermo Salas	0	3085	NaN	NaN	NaN	NaN	0.186	0
Canaan Smith	0	3086	NaN	NaN	NaN	NaN	0.161	0
Cole Peterson	0	3087	NaN	NaN	NaN	NaN	0.185	0
Julio Francisco	0	3088	NaN	NaN	NaN	NaN	0.176	0
Javier Guevara	0	3089	NaN	NaN	NaN	NaN	0.178	0
Michael Papierski	0	3090	NaN	NaN	NaN	NaN	0.156	0
Eddy Vizcaino	0	3091	NaN	NaN	NaN	NaN	0.173	0
Billy Cooke	0	3092	NaN	NaN	NaN	NaN	0.159	0
Casey Schroeder	0	3093	NaN	NaN	NaN	NaN	0.158	0
Zach Davis	0	3094	NaN	NaN	NaN	NaN	0.168	0
Bryan Araiza	0	3095	NaN	NaN	NaN	NaN	0.166	0
Andy Pineda	0	3096	NaN	NaN	NaN	NaN	0.175	0
Michael De La Cruz	0	3097	NaN	NaN	NaN	NaN	0.17	0
Hiram Martinez	0	3098	NaN	NaN	NaN	NaN	0.183	0
Jember Gutierrez	0	3099	NaN	NaN	NaN	NaN	0.172	0
Franklin Arias	0	3100	NaN	NaN	NaN	NaN	0.17	0
Raymond Henderson	0	3101	NaN	NaN	NaN	NaN	0.165	0
Reinaldo Ilarraza	0	3102	NaN	NaN	NaN	NaN	0.176	0
Hector Guerrero	0	3103	NaN	NaN	NaN	NaN	0.174	0
Yerwin Trejo	0	3104	NaN	NaN	NaN	NaN	0.172	0
Alexito Feliz	0	3105	NaN	NaN	NaN	NaN	0.177	0
Ryan Scott	0	3106	NaN	NaN	NaN	NaN	0.163	0
Nick King	0	3107	NaN	NaN	NaN	NaN	0.176	0
Logan Warmoth	0	3108	NaN	NaN	NaN	NaN	0.182	0
Omar Meregildo	0	3109	NaN	NaN	NaN	NaN	0.172	0
Peterson Plaz	0	3110	NaN	NaN	NaN	NaN	0.175	0
Elier Rodriguez	0	3111	NaN	NaN	NaN	NaN	0.171	0
Nick Maton	0	3112	NaN	NaN	NaN	NaN	0.171	0
Elehuris Montero	0	3113	NaN	NaN	NaN	NaN	0.172	0
Ricardo Cubillan	0	3114	NaN	NaN	NaN	NaN	0.174	0
Jared Young	0	3115	NaN	NaN	NaN	NaN	0.181	0
David Sanchez	0	3116	NaN	NaN	NaN	NaN	0.175	0
Mario Sanjur	0	3117	NaN	NaN	NaN	NaN	0.171	0
Jake Scheiner	0	3118	NaN	NaN	NaN	NaN	0.176	0
JaVon Shelby	0	3119	NaN	NaN	NaN	NaN	0.16	0
Tanner Donnels	0	3120	NaN	NaN	NaN	NaN	0.172	0
Tyler Benson	0	3121	NaN	NaN	NaN	NaN	0.164	0
Ruben Santana	0	3122	NaN	NaN	NaN	NaN	0.186	0
Angel Genao	0	3123	NaN	NaN	NaN	NaN	0.171	0
Santiago Chavez	0	3124	NaN	NaN	NaN	NaN	0.173	0
Alejandro Flores	0	3125	NaN	NaN	NaN	NaN	0.159	0
Emir Velasquez	0	3126	NaN	NaN	NaN	NaN	0.179	0
Anthony Brito	0	3127	NaN	NaN	NaN	NaN	0.183	0
Axel Aleixo	0	3128	NaN	NaN	NaN	NaN	0.163	0
Carlos Machado	0	3129	NaN	NaN	NaN	NaN	0.177	0
Cullen Large	0	3130	NaN	NaN	NaN	NaN	0.175	0
Samuel Miranda	0	3131	NaN	NaN	NaN	NaN	0.176	0
Angel Almao	0	3132	NaN	NaN	NaN	NaN	0.173	0
Justin Yurchak	0	3133	NaN	NaN	NaN	NaN	0.164	0
John Riley	0	3134	NaN	NaN	NaN	NaN	0.16	0
Gerson Jimenez	0	3135	NaN	NaN	NaN	NaN	0.168	0
Brett Pope	0	3136	NaN	NaN	NaN	NaN	0.178	0
Malique Ziegler	0	3137	NaN	NaN	NaN	NaN	0.166	0
Jose Tello	0	3138	NaN	NaN	NaN	NaN	0.17	0
Luis Paz	0	3139	NaN	NaN	NaN	NaN	0.165	0
Rafelin Lorenzo	0	3140	NaN	NaN	NaN	NaN	0.176	0
Gabriel Arias	0	3141	NaN	NaN	NaN	NaN	0.173	0
Tyler Straub	0	3142	NaN	NaN	NaN	NaN	0.173	0
Deon Stafford	0	3143	NaN	NaN	NaN	NaN	0.171	0
Mathew Brooks	0	3144	NaN	NaN	NaN	NaN	0.175	0
Andres Sthormes	0	3145	NaN	NaN	NaN	NaN	0.175	0
Jay Jabs	0	3146	NaN	NaN	NaN	NaN	0.162	0
Luis Asuncion	0	3147	NaN	NaN	NaN	NaN	0.172	0
David Banuelos	0	3148	NaN	NaN	NaN	NaN	0.165	0
Francisco Ortiz	0	3149	NaN	NaN	NaN	NaN	0.175	0
Franklin Labour	0	3150	NaN	NaN	NaN	NaN	0.169	0
Daniel Jimenez	0	3151	NaN	NaN	NaN	NaN	0.172	0
Adrian Rondon	0	3152	NaN	NaN	NaN	NaN	0.168	0
Jose Quero	0	3153	NaN	NaN	NaN	NaN	0.168	0
Logan Taylor	0	3154	NaN	NaN	NaN	NaN	0.168	0
Luis Silva	0	3155	NaN	NaN	NaN	NaN	0.181	0
Alexander Canario	0	3156	NaN	NaN	NaN	NaN	0.168	0
Jose Savinon	0	3157	NaN	NaN	NaN	NaN	0.179	0
Onil Pena	0	3158	NaN	NaN	NaN	NaN	0.16	0
Gresuan Silverio	0	3159	NaN	NaN	NaN	NaN	0.17	0
Kyle Smith	0	3160	NaN	NaN	NaN	NaN	0.155	0
Pedro Flores	0	3161	NaN	NaN	NaN	NaN	0.178	0
Jacob Meyers	0	3162	NaN	NaN	NaN	NaN	0.165	0
Diego Rincones	0	3163	NaN	NaN	NaN	NaN	0.172	0
Jean Carlos Arias	0	3164	NaN	NaN	NaN	NaN	0.17	0
Leon Byrd	0	3165	NaN	NaN	NaN	NaN	0.17	0
Ronaldo Hernandez	0	3166	NaN	NaN	NaN	NaN	0.174	0
Jhonny Rodriguez	0	3167	NaN	NaN	NaN	NaN	0.166	0
Wes Wilson	0	3168	NaN	NaN	NaN	NaN	0.17	0
Fernando Kelli	0	3169	NaN	NaN	NaN	NaN	0.169	0
Angel Aponte	0	3170	NaN	NaN	NaN	NaN	0.167	0
Esteury Ruiz	0	3171	NaN	NaN	NaN	NaN	0.177	0
Edgar Herrera	0	3172	NaN	NaN	NaN	NaN	0.176	0
Darrell Miller	0	3173	NaN	NaN	NaN	NaN	0.172	0
Wadye Ynfante	0	3174	NaN	NaN	NaN	NaN	0.176	0
Colby Woodmansee	0	3175	NaN	NaN	NaN	NaN	0.17	0
Ramon Osuna	0	3176	NaN	NaN	NaN	NaN	0.162	0
Luis Bandes	0	3177	NaN	NaN	NaN	NaN	0.174	0
Bradley Keller	0	3178	NaN	NaN	NaN	NaN	0.162	0
Ricardo Cespedes	0	3179	NaN	NaN	NaN	NaN	0.18	0
Jose Leal	0	3180	NaN	NaN	NaN	NaN	0.167	0
Juan Rodriguez	0	3181	NaN	NaN	NaN	NaN	0.174	0
Jose Polonia	0	3182	NaN	NaN	NaN	NaN	0.18	0
Andre Jernigan	0	3183	NaN	NaN	NaN	NaN	0.161	0
Jorge Gil	0	3184	NaN	NaN	NaN	NaN	0.173	0
Tyler Curtis	0	3185	NaN	NaN	NaN	NaN	0.169	0
Kolbey Carpenter	0	3186	NaN	NaN	NaN	NaN	0.175	0
Will Robertson	0	3187	NaN	NaN	NaN	NaN	0.174	0
Rodolfo Castro	0	3188	NaN	NaN	NaN	NaN	0.174	0
Jeremy Vasquez	0	3189	NaN	NaN	NaN	NaN	0.159	0
Antonio Tovar	0	3190	NaN	NaN	NaN	NaN	0.168	0
Jonathan Guzman	0	3191	NaN	NaN	NaN	NaN	0.178	0
Austin O'Banion	0	3192	NaN	NaN	NaN	NaN	0.164	0
Jesus Lujano	0	3193	NaN	NaN	NaN	NaN	0.171	0
Garrett Hope	0	3194	NaN	NaN	NaN	NaN	0.162	0
Erlin Cerda	0	3195	NaN	NaN	NaN	NaN	0.174	0
Carlos Pulido	0	3196	NaN	NaN	NaN	NaN	0.17	0
Javier Castillo	0	3197	NaN	NaN	NaN	NaN	0.181	0
Byron Murray	0	3198	NaN	NaN	NaN	NaN	0.164	0
Bobby Stahel	0	3199	NaN	NaN	NaN	NaN	0.165	0
Jonathan Oquendo	0	3200	NaN	NaN	NaN	NaN	0.172	0
Chris Torres	0	3201	NaN	NaN	NaN	NaN	0.165	0
Julio Rodriguez	0	3202	NaN	NaN	NaN	NaN	0.168	0
Blake Tiberi	0	3203	NaN	NaN	NaN	NaN	0.162	0
Alejo Lopez	0	3204	NaN	NaN	NaN	NaN	0.175	0
David Kerian	0	3205	NaN	NaN	NaN	NaN	0.166	0
Reynaldo Rivera	0	3206	NaN	NaN	NaN	NaN	0.162	0
Raul Juarez	0	3207	NaN	NaN	NaN	NaN	0.167	0
Felix Vinicio	0	3208	NaN	NaN	NaN	NaN	0.175	0
Yovanny Cuevas	0	3209	NaN	NaN	NaN	NaN	0.163	0
Garrett Copeland	0	3210	NaN	NaN	NaN	NaN	0.17	0
Omar Lebron	0	3211	NaN	NaN	NaN	NaN	0.165	0
Cristian Gomez	0	3212	NaN	NaN	NaN	NaN	0.171	0
Robinson Medrano	0	3213	NaN	NaN	NaN	NaN	0.167	0
Dalton Dulin	0	3214	NaN	NaN	NaN	NaN	0.17	0
Chris Singleton	0	3215	NaN	NaN	NaN	NaN	0.165	0
Samuel Castro	0	3216	NaN	NaN	NaN	NaN	0.18	0
Kelvin Melean	0	3217	NaN	NaN	NaN	NaN	0.175	0
Jose Paez	0	3218	NaN	NaN	NaN	NaN	0.165	0
Luis Mendoza	0	3219	NaN	NaN	NaN	NaN	0.17	0
Arnaldo Berrios	0	3220	NaN	NaN	NaN	NaN	0.161	0
Moises Bello	0	3221	NaN	NaN	NaN	NaN	0.181	0
Isaac Benard	0	3222	NaN	NaN	NaN	NaN	0.161	0
Alexander Campos	0	3223	NaN	NaN	NaN	NaN	0.174	0
Trey York	0	3224	NaN	NaN	NaN	NaN	0.169	0
Jason Lopez	0	3225	NaN	NaN	NaN	NaN	0.162	0
Jose Barraza	0	3226	NaN	NaN	NaN	NaN	0.159	0
Ronald Rosario	0	3227	NaN	NaN	NaN	NaN	0.166	0
Luis Diaz	0	3228	NaN	NaN	NaN	NaN	0.169	0
Jose Duarte	0	3229	NaN	NaN	NaN	NaN	0.168	0
Wilmer Perez	0	3230	NaN	NaN	NaN	NaN	0.172	0
Cristian Encarnacion	0	3231	NaN	NaN	NaN	NaN	0.162	0
Pablo Garcia	0	3232	NaN	NaN	NaN	NaN	0.172	0
Jose Gomez	0	3233	NaN	NaN	NaN	NaN	0.163	0
Kervin Suarez	0	3234	NaN	NaN	NaN	NaN	0.178	0
Earl Burl III	0	3235	NaN	NaN	NaN	NaN	0.163	0
Steven Reveles	0	3236	NaN	NaN	NaN	NaN	0.175	0
Cole Stobbe	0	3237	NaN	NaN	NaN	NaN	0.161	0
Fidel Matos	0	3238	NaN	NaN	NaN	NaN	0.165	0
Adam Sonabend	0	3239	NaN	NaN	NaN	NaN	0.16	0
Francisco Ventura	0	3240	NaN	NaN	NaN	NaN	0.169	0
Nick Sciortino	0	3241	NaN	NaN	NaN	NaN	0.158	0
Jonathan Lopez	0	3242	NaN	NaN	NaN	NaN	0.168	0
Jorge Caballero	0	3243	NaN	NaN	NaN	NaN	0.166	0
Maxwell Morales	0	3244	NaN	NaN	NaN	NaN	0.154	0
Antony Fuentes	0	3245	NaN	NaN	NaN	NaN	0.17	0
Rigoberto Terrazas	0	3246	NaN	NaN	NaN	NaN	0.171	0
Miguel Hernandez	0	3247	NaN	NaN	NaN	NaN	0.179	0
Juan Moreno	0	3248	NaN	NaN	NaN	NaN	0.177	0
Miguel Amaya	0	3249	NaN	NaN	NaN	NaN	0.17	0
Jose Reyes	0	3250	NaN	NaN	NaN	NaN	0.179	0
Scott Manea	0	3251	NaN	NaN	NaN	NaN	0.16	0
Jhon Torres	0	3252	NaN	NaN	NaN	NaN	0.16	0
Franklin Tineo	0	3253	NaN	NaN	NaN	NaN	0.16	0
Jeisson Rosario	0	3254	NaN	NaN	NaN	NaN	0.165	0
Ulysses Cantu	0	3255	NaN	NaN	NaN	NaN	0.163	0
Greifer Andrade	0	3256	NaN	NaN	NaN	NaN	0.179	0
Ricardo Bautista	0	3257	NaN	NaN	NaN	NaN	0.16	0
Christopher Morel	0	3258	NaN	NaN	NaN	NaN	0.16	0
Radley Haddad	0	3259	NaN	NaN	NaN	NaN	0.16	0
Willy Yahn	0	3260	NaN	NaN	NaN	NaN	0.181	0
Offerman Collado	0	3261	NaN	NaN	NaN	NaN	0.177	0
Gunner Pollman	0	3262	NaN	NaN	NaN	NaN	0.159	0
Chris Harvey	0	3263	NaN	NaN	NaN	NaN	0.165	0
Starling Joseph	0	3264	NaN	NaN	NaN	NaN	0.162	0
J.C. Escarra	0	3265	NaN	NaN	NaN	NaN	0.16	0
Juan Montes	0	3266	NaN	NaN	NaN	NaN	0.165	0
Ernie De La Trinidad	0	3267	NaN	NaN	NaN	NaN	0.166	0
Jeffrey Ramos	0	3268	NaN	NaN	NaN	NaN	0.167	0
Freddy Fermin	0	3269	NaN	NaN	NaN	NaN	0.17	0
Chase Pinder	0	3270	NaN	NaN	NaN	NaN	0.163	0
Cristian Perez	0	3271	NaN	NaN	NaN	NaN	0.179	0
Luke Willis	0	3272	NaN	NaN	NaN	NaN	0.167	0
Ricky Aracena	0	3273	NaN	NaN	NaN	NaN	0.179	0
Moises Perez	0	3274	NaN	NaN	NaN	NaN	0.175	0
Keith Skinner	0	3275	NaN	NaN	NaN	NaN	0.168	0
Brandon Polizzi	0	3276	NaN	NaN	NaN	NaN	0.162	0
Jeremias Portorreal	0	3277	NaN	NaN	NaN	NaN	0.162	0
Alex Destino	0	3278	NaN	NaN	NaN	NaN	0.157	0
Daniel Padilla	0	3279	NaN	NaN	NaN	NaN	0.164	0
Luis Vilorio	0	3280	NaN	NaN	NaN	NaN	0.174	0
Juan Martinez	0	3281	NaN	NaN	NaN	NaN	0.166	0
Jeramiah McCray	0	3282	NaN	NaN	NaN	NaN	0.167	0
Reiny Beltre	0	3283	NaN	NaN	NaN	NaN	0.172	0
Oliver Carmona	0	3284	NaN	NaN	NaN	NaN	0.166	0
Joseph Astacio	0	3285	NaN	NaN	NaN	NaN	0.18	0
Harvin Mendoza	0	3286	NaN	NaN	NaN	NaN	0.163	0
Gustavo Figueroa	0	3287	NaN	NaN	NaN	NaN	0.175	0
Geraldo Perdomo	0	3288	NaN	NaN	NaN	NaN	0.165	0
Angel Tejeda	0	3289	NaN	NaN	NaN	NaN	0.168	0
Raysheandall Michel	0	3290	NaN	NaN	NaN	NaN	0.173	0
Irving Lopez	0	3291	NaN	NaN	NaN	NaN	0.174	0
Marco Guzman	0	3292	NaN	NaN	NaN	NaN	0.171	0
Isaias Silverio	0	3293	NaN	NaN	NaN	NaN	0.157	0
Yoel Romero	0	3294	NaN	NaN	NaN	NaN	0.175	0
Hengelbert Rojas	0	3295	NaN	NaN	NaN	NaN	0.16	0
Edgardo Fermin	0	3296	NaN	NaN	NaN	NaN	0.168	0
Teddy Hoffman	0	3297	NaN	NaN	NaN	NaN	0.155	0
Brandon Leyton	0	3298	NaN	NaN	NaN	NaN	0.178	0
Pedro Urena	0	3299	NaN	NaN	NaN	NaN	0.159	0
Jackson Glines	0	3300	NaN	NaN	NaN	NaN	0.161	0
Jose Maria	0	3301	NaN	NaN	NaN	NaN	0.164	0
Rachid Engelhardt	0	3302	NaN	NaN	NaN	NaN	0.164	0
Iraj Serrano	0	3303	NaN	NaN	NaN	NaN	0.166	0
Edison Lantigua	0	3304	NaN	NaN	NaN	NaN	0.162	0
Reshard Munroe	0	3305	NaN	NaN	NaN	NaN	0.156	0
Jr. Espiritu	0	3306	NaN	NaN	NaN	NaN	0.171	0
Eduard Conde	0	3307	NaN	NaN	NaN	NaN	0.17	0
Bill Pujols	0	3308	NaN	NaN	NaN	NaN	0.168	0
Chris Seise	0	3309	NaN	NaN	NaN	NaN	0.175	0
Simon Muzziotti	0	3310	NaN	NaN	NaN	NaN	0.171	0
Jose Benjamin	0	3311	NaN	NaN	NaN	NaN	0.166	0
Cristopher Luciano	0	3312	NaN	NaN	NaN	NaN	0.155	0
Ramfis Berroa	0	3313	NaN	NaN	NaN	NaN	0.16	0
Gustavo Polanco	0	3314	NaN	NaN	NaN	NaN	0.174	0
Rodolfo Duran	0	3315	NaN	NaN	NaN	NaN	0.168	0
Davis Schneider	0	3316	NaN	NaN	NaN	NaN	0.156	0
Jhon Moronta	0	3317	NaN	NaN	NaN	NaN	0.165	0
Luis Guzman	0	3318	NaN	NaN	NaN	NaN	0.168	0
Rubendy Jaquez	0	3319	NaN	NaN	NaN	NaN	0.173	0
Todd McDonald	0	3320	NaN	NaN	NaN	NaN	0.163	0
Tyler Bates	0	3321	NaN	NaN	NaN	NaN	0.166	0
Frederick Cuevas	0	3322	NaN	NaN	NaN	NaN	0.163	0
Luis Garcia	0	3323	NaN	NaN	NaN	NaN	0.18	0
Hosea Nelson	0	3324	NaN	NaN	NaN	NaN	0.161	0
Reggie Pruitt	0	3325	NaN	NaN	NaN	NaN	0.165	0
Jose Paniagua	0	3326	NaN	NaN	NaN	NaN	0.163	0
Andy Sugilio	0	3327	NaN	NaN	NaN	NaN	0.171	0
Gabriel Bracamonte	0	3328	NaN	NaN	NaN	NaN	0.165	0
James Terrell	0	3329	NaN	NaN	NaN	NaN	0.165	0
Andres Martin	0	3330	NaN	NaN	NaN	NaN	0.17	0
William Contreras	0	3331	NaN	NaN	NaN	NaN	0.166	0
Daniel Paulino	0	3332	NaN	NaN	NaN	NaN	0.167	0
Anthony Villa	0	3333	NaN	NaN	NaN	NaN	0.151	0
Mike Odenwaelder	0	3334	NaN	NaN	NaN	NaN	0.163	0
Simeon Lucas	0	3335	NaN	NaN	NaN	NaN	0.163	0
Ryan Vega	0	3336	NaN	NaN	NaN	NaN	0.166	0
Andres Martinez	0	3337	NaN	NaN	NaN	NaN	0.166	0
Ryan Uhl	0	3338	NaN	NaN	NaN	NaN	0.157	0
Stuart Fairchild	0	3339	NaN	NaN	NaN	NaN	0.164	0
Jose Rivas	0	3340	NaN	NaN	NaN	NaN	0.167	0
Jose G. Rodriguez	0	3341	NaN	NaN	NaN	NaN	0.175	0
Johnny Dixon	0	3342	NaN	NaN	NaN	NaN	0.163	0
Jesus Henriquez	0	3343	NaN	NaN	NaN	NaN	0.178	0
Nicolas Torres	0	3344	NaN	NaN	NaN	NaN	0.18	0
Carlos Sosa	0	3345	NaN	NaN	NaN	NaN	0.161	0
Terry Bennett	0	3346	NaN	NaN	NaN	NaN	0.162	0
Benjamin Alegria	0	3347	NaN	NaN	NaN	NaN	0.175	0
Yeison Perez	0	3348	NaN	NaN	NaN	NaN	0.165	0
Edwin Sano	0	3349	NaN	NaN	NaN	NaN	0.172	0
Craig Dedelow	0	3350	NaN	NaN	NaN	NaN	0.162	0
Ismael Jaime	0	3351	NaN	NaN	NaN	NaN	0.166	0
Jordan Scott	0	3352	NaN	NaN	NaN	NaN	0.15	0
Ismael Pena	0	3353	NaN	NaN	NaN	NaN	0.164	0
Carlos Diaz	0	3354	NaN	NaN	NaN	NaN	0.156	0
Jarrett Costa	0	3355	NaN	NaN	NaN	NaN	0.158	0
Julio Gonzalez	0	3356	NaN	NaN	NaN	NaN	0.172	0
Alex Rodriguez	0	3357	NaN	NaN	NaN	NaN	0.163	0
Tramayne Holmes	0	3358	NaN	NaN	NaN	NaN	0.156	0
Freddy Rodriguez	0	3359	NaN	NaN	NaN	NaN	0.161	0
Brandon Hughes	0	3360	NaN	NaN	NaN	NaN	0.171	0
Henry Santana	0	3361	NaN	NaN	NaN	NaN	0.169	0
Jose Marquez	0	3362	NaN	NaN	NaN	NaN	0.175	0
Ronaldy Sosa	0	3363	NaN	NaN	NaN	NaN	0.17	0
Droherlin Mejia	0	3364	NaN	NaN	NaN	NaN	0.164	0
Yeilin Hernandez	0	3365	NaN	NaN	NaN	NaN	0.16	0
Chris Shaw	0	3366	NaN	NaN	NaN	NaN	0.16	0
Jorge Sequera	0	3367	NaN	NaN	NaN	NaN	0.162	0
Jose Grullart	0	3368	NaN	NaN	NaN	NaN	0.162	0
Reyny Reyes	0	3369	NaN	NaN	NaN	NaN	0.173	0
Keudy Bocio	0	3370	NaN	NaN	NaN	NaN	0.164	0
Gean Rigby	0	3371	NaN	NaN	NaN	NaN	0.162	0
Erik Forgione	0	3372	NaN	NaN	NaN	NaN	0.173	0
Jhoan Herrera	0	3373	NaN	NaN	NaN	NaN	0.165	0
Edwin Rodriguez	0	3374	NaN	NaN	NaN	NaN	0.158	0
DJ McKnight	0	3375	NaN	NaN	NaN	NaN	0.156	0
Ben Pelletier	0	3376	NaN	NaN	NaN	NaN	0.164	0
Miguel Guzman	0	3377	NaN	NaN	NaN	NaN	0.167	0
Samuel Inoa	0	3378	NaN	NaN	NaN	NaN	0.164	0
Jose Salas	0	3379	NaN	NaN	NaN	NaN	0.175	0
Bryan Lizardo	0	3380	NaN	NaN	NaN	NaN	0.163	0
Gabriel Garcia	0	3381	NaN	NaN	NaN	NaN	0.154	0
Nerluis Martinez	0	3382	NaN	NaN	NaN	NaN	0.162	0
Freiberg Marin	0	3383	NaN	NaN	NaN	NaN	0.176	0
Kelvin Fajardo	0	3384	NaN	NaN	NaN	NaN	0.176	0
Tim Susnara	0	3385	NaN	NaN	NaN	NaN	0.158	0
Nicholos Hamilton	0	3386	NaN	NaN	NaN	NaN	0.157	0
Jay Feliciano	0	3387	NaN	NaN	NaN	NaN	0.16	0
Yhoelnys Gonzalez	0	3388	NaN	NaN	NaN	NaN	0.164	0
Israel Mota	0	3389	NaN	NaN	NaN	NaN	0.158	0
Julio Martinez	0	3390	NaN	NaN	NaN	NaN	0.163	0
Jean Carrillo	0	3391	NaN	NaN	NaN	NaN	0.165	0
Reniel Ozuna	0	3392	NaN	NaN	NaN	NaN	0.161	0
Sterling Guzman	0	3393	NaN	NaN	NaN	NaN	0.165	0
Josue Huma	0	3394	NaN	NaN	NaN	NaN	0.173	0
Raymundo Moreno	0	3395	NaN	NaN	NaN	NaN	0.164	0
Adalfi Almonte	0	3396	NaN	NaN	NaN	NaN	0.153	0
Jonathan Laureano	0	3397	NaN	NaN	NaN	NaN	0.168	0
J.J. Matijevic	0	3398	NaN	NaN	NaN	NaN	0.157	0
Nelson Alvarez	0	3399	NaN	NaN	NaN	NaN	0.155	0
Enmanuel Valdez	0	3400	NaN	NaN	NaN	NaN	0.161	0
Carlos Pacheco	0	3401	NaN	NaN	NaN	NaN	0.148	0
William Jimenez	0	3402	NaN	NaN	NaN	NaN	0.164	0
Joe Venturino	0	3403	NaN	NaN	NaN	NaN	0.175	0
Yorki Franco	0	3404	NaN	NaN	NaN	NaN	0.165	0
Jonathan Soto	0	3405	NaN	NaN	NaN	NaN	0.168	0
Carlos Vargas	0	3406	NaN	NaN	NaN	NaN	0.159	0
Luis Anguizola	0	3407	NaN	NaN	NaN	NaN	0.157	0
Jaylen Ferguson	0	3408	NaN	NaN	NaN	NaN	0.167	0
Luis Mejia	0	3409	NaN	NaN	NaN	NaN	0.176	0
Marcos Gonzalez	0	3410	NaN	NaN	NaN	NaN	0.171	0
Huascar Fuentes	0	3411	NaN	NaN	NaN	NaN	0.164	0
Matthew Batten	0	3412	NaN	NaN	NaN	NaN	0.166	0
Eudys Rivera	0	3413	NaN	NaN	NaN	NaN	0.165	0
Richard Porteles	0	3414	NaN	NaN	NaN	NaN	0.176	0
Reilys Blanco	0	3415	NaN	NaN	NaN	NaN	0.172	0
Wilmer Reyes	0	3416	NaN	NaN	NaN	NaN	0.171	0
Maikel Pineda	0	3417	NaN	NaN	NaN	NaN	0.164	0
Edgar Rondon	0	3418	NaN	NaN	NaN	NaN	0.166	0
Wiklerman Rasquin	0	3419	NaN	NaN	NaN	NaN	0.166	0
Laz Rivera	0	3420	NaN	NaN	NaN	NaN	0.174	0
Brady Whalen	0	3421	NaN	NaN	NaN	NaN	0.157	0
Henderson De Oleo	0	3422	NaN	NaN	NaN	NaN	0.15	0
Eduardo Navas	0	3423	NaN	NaN	NaN	NaN	0.164	0
Samuel Vasquez	0	3424	NaN	NaN	NaN	NaN	0.163	0
