Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Jake Thomas	0	759	NaN	NaN	NaN	NaN	0.228	0
Isiah Kiner-Falefa	0.5	760	0	2	2	0	0.256	3
Evan Van Hoosier	0	761	NaN	NaN	NaN	NaN	0.251	0
Rob Brantly	0	762	NaN	NaN	NaN	NaN	0.243	0
Frank Diaz	0	763	NaN	NaN	NaN	NaN	0.246	0
Will Venable	0	764	NaN	NaN	NaN	NaN	0.228	0
Brennon Lund	0	765	NaN	NaN	NaN	NaN	0.256	0
Ryder Jones	3.5	766	0.571	2.286	2.571	0.286	0.237	21
Jiandido Tromp	0	767	NaN	NaN	NaN	NaN	0.233	0
Zach Gibbons	0	768	NaN	NaN	NaN	NaN	0.25	0
Eury Perez	0	769	NaN	NaN	NaN	NaN	0.257	0
Kaleb Cowart	3.833	770	0.522	2.348	2.348	0.522	0.238	23
Jaff Decker	0	771	NaN	NaN	NaN	NaN	0.227	0
Charlie Tilson	0.333	772	0	3	3	0	0.251	2
Julio Borbon	0	773	NaN	NaN	NaN	NaN	0.262	0
D.J. Peterson	0	774	NaN	NaN	NaN	NaN	0.23	0
Brandon Snyder	0	775	NaN	NaN	NaN	NaN	0.221	0
Justin Maffei	0	776	NaN	NaN	NaN	NaN	0.239	0
Rudy Flores	0	777	NaN	NaN	NaN	NaN	0.237	0
Danny Hayes	0	778	NaN	NaN	NaN	NaN	0.207	0
Pedro Severino	1.333	779	0.75	2.25	2.25	0	0.248	8
Lane Adams	8.667	780	0.577	2.308	2.423	1.154	0.232	52
Carlos Tocci	5.5	781	0.182	2.364	2.182	0.364	0.261	33
Roman Quinn	3	782	0.333	2.667	2.333	1	0.236	18
Danny Santana	0	783	NaN	NaN	NaN	NaN	0.253	0
Billy Fleming	0	784	NaN	NaN	NaN	NaN	0.248	0
Sandy Leon	7.5	785	0.4	2.4	2.267	0.133	0.234	45
Ichiro Suzuki	7	786	0.286	2.429	2.143	0.429	0.254	42
Michael Reed	0	787	NaN	NaN	NaN	NaN	0.217	0
Matt Dominguez	0	788	NaN	NaN	NaN	NaN	0.239	0
Niko Goodrum	0.833	789	0	2.4	2.4	1.2	0.237	5
Corey Wimberly	0	790	NaN	NaN	NaN	NaN	0.255	0
Jeff Malm	0	791	NaN	NaN	NaN	NaN	0.233	0
Rafael Bautista	0.833	792	0	2.4	2.4	1.2	0.261	5
Junior Lake	0	793	NaN	NaN	NaN	NaN	0.225	0
Jesus Sucre	5.5	794	0.545	2.182	2.364	0.364	0.249	33
Herlis Rodriguez	0	795	NaN	NaN	NaN	NaN	0.24	0
Josh Richmond	0	796	NaN	NaN	NaN	NaN	0.229	0
Matt Reynolds	0.5	797	0	2	2	0	0.245	3
